250,0,302164,302241,400621,400644,0,302254,348567,335061,331658,339319,260543,238863,259932,278124,369305,374167,397750,395402,377954,382127,398424,396906,153457,80057.1,0,0,32702.2,92481.2,0,0,116735,138968,155328,181186,116933,400683,400664,393670,399473,400673,385395,389664,399914,400630,387060,392526,380947,241820,208317,225478,191448,215326,282411,345930,355293,317641,290480,319540,360456,302197,302183,400332,370130,364123,168139,195450,62799,46949.9,23535.5,65050.7,344328,332008,330691,340831,267491,250058,272399,369347,376318,398759,395406,375976,381743,398289,395248,62741.3,37624.1,24088.7,69733.8,49184.8,15752.4,41999.7,59830,106556,131815,115682,143395,189921,167742,162636,141572,176525,85957.1,115724,86236.6,145329,151275,119666,98525.1,81505,400100,400076,400075,398447,387149,390697,400077,398089,396539,395683,384231,389583,380625,376983,212319,209381,184864,198608,205643,215905,173896,236349,233806,254110,255413,234118,254005,224370,273689,271376,361440,350886,288972,317213,318025,367209,354626,317521,331066,342134,332768,286997,317545,360645,369755,361470,371332,352141,349627,393695,387360,391735,385511,284741,286521,
275,0,291601,291673,391791,391815,0,291685,338142,324496,321074,328792,250524,229311,249925,267807,359294,364290,388777,386319,368195,372508,389485,387893,146669,76351.3,0,0,31168.3,88223,0,0,111430,132749,148457,173375,111617,391856,391836,384508,390585,391846,375895,380332,391048,391800,377624,383314,371287,232208,199616,216284,183284,206417,272033,335473,344978,307021,280015,308919,350233,291632,291619,391488,360139,353985,160797,187157,59874.7,44754.3,22430,62021,333851,321424,320102,330315,257347,240258,262174,359335,366506,389837,386324,366153,372111,389343,386159,59819.5,35861.7,22957.7,66494.9,46886.6,15012.3,40032.6,57041,101689,125886,110422,136999,181806,160413,155494,135248,168876,81987.2,110463,82256.4,138855,144569,114238,94004.2,77735.9,391244,391218,391217,389509,377716,381408,391220,389133,387509,386613,374686,380249,370954,367190,203498,200643,176925,190212,197028,206978,166343,226866,224388,244220,245497,224690,244118,215207,263439,261167,351242,340496,278524,306595,307405,357145,344298,306902,320478,331631,322188,276569,306925,350430,359754,351270,361374,341772,339218,384536,377935,382488,376015,274337,276100,
300,0,281769,281837,382610,382635,0,281848,328103,314441,311027,318738,241377,220658,240792,258321,349428,354492,379507,376981,358461,362852,380236,378599,140635,73084.6,0,0,29819.3,84465.8,0,0,106738,127233,142350,166399,106916,382677,382656,375122,381368,382666,366308,370844,381844,382619,368073,373896,361609,223489,191799,207986,175977,198399,262471,325427,334977,297042,270334,298926,340265,281798,281787,382297,350283,344057,154256,179729,57299.8,42822.4,21458,59353.3,323800,311375,310059,320258,248061,231344,252794,349469,356743,380598,376986,356384,362447,380089,376817,57246.8,34311.5,21963.3,63641.5,44864.2,14361.7,38302.4,54585.6,97387.7,120632,105771,131323,174547,153883,149137,129637,162052,78486.4,105810,78746.2,133108,138611,109435,90012.7,74412.9,382046,382020,382019,380260,368167,371945,382021,379873,378204,377283,365072,370758,361268,357436,195565,192791,169830,182686,189292,198943,159607,218279,215867,235213,236461,216161,235113,206939,254032,251806,341288,330467,268866,296621,297423,347251,334291,296925,310434,321576,312138,266941,296948,340467,349893,341313,351535,331751,329183,375151,368391,373050,366429,264741,266480,
325,0,272553,272616,373221,373247,0,272627,318423,304840,301456,309109,232943,212731,232372,249519,339738,344821,370071,367510,348811,353234,370811,369150,135200,70163.5,0,0,28615.7,81103.2,0,0,102530,122274,136848,160089,102700,373290,373269,365627,371960,373279,356719,361299,372444,373231,358500,364386,351981,215495,184691,200410,169356,191096,253586,315760,325280,287614,261306,289475,330560,272580,272569,372904,340595,334356,148351,172991,54999.5,41097.8,20591,56970.1,314141,301800,300496,310618,239478,223152,244110,339778,347083,371179,367515,346722,352825,370662,367345,54948.4,32927.9,21076,61091.3,43058.4,13781.3,36758.1,52392.4,93533.3,115913,101599,126216,167971,147990,143404,124590,155883,75354.7,101637,75605.7,127936,133246,105127,86438.4,71440.9,372649,372622,372621,370835,358595,362412,372624,370443,368750,367817,355470,361213,351638,347779,188344,185650,163407,175855,182261,191624,153521,210419,208072,226924,228143,208357,226827,199393,245319,243142,331585,320780,259866,287199,287990,337556,324594,287498,300868,311928,302556,257975,287521,330764,340204,331608,341851,322061,319500,365657,358820,363529,356840,255815,257523,
350,0,263859,263919,363737,363763,0,263929,309079,295644,292304,299864,225098,205399,224541,241289,330246,335310,360572,358002,339291,343707,361315,359648,130246,67517.9,0,0,27527.5,78055.5,0,0,98709.2,117760,131833,154315,98871.5,363806,363785,356112,362470,363795,347191,351776,362956,363747,348973,354867,342455,208095,178157,193422,163289,184375,245266,306443,315878,278662,252829,280493,321116,263885,263875,363418,331100,324891,142959,166813,52917.8,39538,19807.3,54813.6,304840,292644,291358,301354,231478,215552,236002,330286,337566,361685,358006,337205,343298,361166,357836,52868.6,31676.9,20274.1,58782.8,41425.1,13256.7,35361.7,50408.1,90036,111621,97811.4,121567,161946,142608,138172,119997,150243,72517.5,97848,72760.2,123227,128357,101213,83197.2,68748.8,363162,363135,363134,361340,349068,352890,363137,360946,359246,358309,345942,351689,342113,338259,181703,179086,157528,169589,175802,184887,147958,203153,200869,219228,220416,201146,219134,192434,237182,235057,322137,311415,251418,278254,279032,328074,315197,278548,291725,302650,293389,249566,278570,321321,330709,322159,332350,312685,310146,356143,349293,354008,347312,247450,249124,
375,0,255615,255672,354244,354269,0,255681,300049,286814,283529,290969,217745,198561,217203,233541,320966,325982,351088,348527,329929,334312,351828,350166,125682,65094.7,0,0,26532.5,75262.1,0,0,95201.2,113609,127214,148979,95357.1,354312,354291,346645,352980,354301,337773,342330,353464,354253,339544,345406,333070,201188,172096,186920,157675,178132,237425,297451,306759,270126,244819,271923,311933,255639,255629,353925,321811,315667,137983,161092,51012.6,38111.2,19090.8,52839.9,295871,283863,282599,292436,223967,208446,228381,321005,328219,352197,348531,327861,333906,351680,348362,50965,30532.8,19540.9,56669.3,39930.9,12777.2,34084.6,48592.1,86827.3,107675,94334.4,117289,156372,137643,133349,115770,145035,69918.1,94369.8,70153,118894,123855,97619.5,80225.2,66282.8,353669,353643,353642,351853,339638,343438,353644,351460,349766,348833,336531,342245,332729,328905,175537,172995,152092,163783,169812,178629,142823,196378,194157,212024,213183,194427,211933,185960,229531,227458,312943,302353,243440,269726,270490,318816,306087,270015,282959,293712,284596,241629,270036,312136,321424,312963,323050,303607,301102,346676,339861,344550,337892,239559,241197,
400,0,247761,247815,344804,344829,0,247824,291314,278316,275094,282395,210808,192136,210280,226204,311906,316853,341676,339139,320749,325078,342410,340764,121440,62853.3,0,0,25613.5,72676.8,0,0,91949.9,109755,122920,144006,92099.9,344872,344851,337276,343551,344861,328498,333006,344032,344814,330250,336049,323851,194694,166427,180824,152436,172288,229992,288761,297914,261958,237212,263717,303004,247784,247775,344489,312738,306683,133352,155751,49251.4,36792.9,18429.1,51015.5,287208,275421,274182,283834,216871,201756,221174,311944,319060,342776,339144,318707,324677,342263,338976,49205.4,29475.9,18863.8,54715,38550.2,12334.3,32904.9,46913.7,83855.1,104014,91112,113316,151172,133022,128862,111846,140183,67513,91146.3,67740.6,114868,119671,94288.3,77473.6,64001.5,344235,344208,344208,342435,330342,334102,344210,342045,340367,339443,327270,332921,323515,319738,169768,167299,147024,158361,164211,172769,138040,190015,187856,205238,206366,188118,205149,179891,222294,220274,304001,293579,235866,261567,262314,309786,297252,261850,274535,285088,276140,234098,261870,303205,312357,304019,313960,294813,292349,337307,330563,335202,328616,232077,233676,
425,0,240251,240303,335468,335493,0,240312,282857,270123,266969,274118,204229,186062,203715,219224,303070,307933,332382,329879,311766,316025,333106,331481,117466,60762.4,0,0,24757.2,70263.8,0,0,88911.7,106149,118898,139337,89056.4,335535,335515,328042,334232,335524,319393,323833,334706,335477,321118,326832,314818,188552,161090,175071,147511,166780,222915,280355,289331,254120,229957,255840,294325,240274,240264,335157,303888,297939,129009,150728,47609.4,35564.3,17812.7,49314.5,278833,267288,266076,275527,210132,195420,214323,303107,310104,333466,329883,309756,315631,332960,329718,47564.9,28491,18232.9,52892.5,37263.3,11921.7,31805.5,45349,81079.1,100590,88101,109597,146286,128688,124656,108173,135630,65269,88134.1,65489.6,111100,115752,91174.8,74904.6,61873.2,334906,334880,334879,333130,321209,324913,334882,332746,331090,330179,318184,323750,314487,310770,164333,161934,142263,153261,158939,167247,133552,184002,181904,198807,199905,182158,198721,174165,215414,213447,295305,285079,228645,253738,254468,300987,288682,254014,266422,276755,267992,226919,254034,294524,303513,295323,305089,286289,283872,328072,321427,325997,319509,224948,226509,
450,0,233048,233099,326271,326295,0,233107,274665,262211,259130,266117,197960,180292,197460,212556,294461,299229,323236,320775,302988,307168,323948,322350,113719,58797.6,0,0,23953.5,67995.5,0,0,86052.7,102751,115105,134925,86192.4,326337,326316,318970,325055,326326,310474,314834,325521,326280,312168,317780,305983,182713,156034,169613,142855,161559,216151,272217,281002,246580,223013,248258,285891,233070,233061,325964,295263,289432,124909,145977,46067.1,34410.7,17234.1,47716.9,270728,259441,258258,267495,203705,189392,207785,294497,301358,324302,320780,301017,306781,323805,320618,46024.1,27566.4,17640.8,51180.5,36054.9,11534.5,30773.4,43879.5,78467.9,97365.8,85267.6,106092,141666,124598,120688,104713,131329,63160,85299.7,63373.9,107549,112057,88244.7,72489,59873.1,325718,325692,325692,323971,312257,315896,325694,323593,321966,321070,309287,314753,305658,302011,159183,156854,137763,148435,153947,162013,129315,178290,176252,192686,193754,176498,192602,168733,208846,206931,286852,276839,221734,246208,246920,292419,280366,246477,258595,268696,260129,220053,246496,286087,294895,286868,296440,278024,275658,319000,312471,316960,310588,218132,219653,
475,0,226123,226171,317238,317261,0,226179,266725,254563,251556,258377,191965,174786,191478,206166,286077,290743,314261,311849,294423,298516,314959,313393,110166,56940.1,0,0,23194.2,65850.3,0,0,83346.6,99531.8,111509,130735,83481.6,317302,317282,310078,316045,317292,301754,306026,316502,317246,303413,308913,297355,177141,151223,164412,138430,156589,209665,264334,272917,239313,216347,240950,277696,226144,226135,316937,286862,281159,121018,141460,44609.7,33320.9,16687.7,46207.2,262880,251860,250705,259721,197554,183633,201523,286113,292827,315307,311853,292493,298137,314819,311694,44567.9,26692.9,17081.5,49562.3,34913.3,11168.7,29798.4,42490.9,75997.1,94311.4,82585.8,102771,137275,120716,116924,101433,127245,61165.9,82616.9,61373.3,104183,108554,85470.8,70204,57982.1,316696,316670,316670,314983,303501,307065,316672,314612,313016,312138,300590,305946,297037,293466,154281,152018,133488,143846,149197,157029,125292,172842,170861,186835,187874,171100,186754,163557,202555,200693,278635,268849,215102,238950,239644,284080,272295,239212,251034,260894,252531,213465,239231,277887,286502,278652,288014,270007,267695,310108,303710,308109,301865,211594,213075,
