Y Coordinates:
1.47975,1.71036,1.33907,5.00004,5.21378,5.45063,0.465398,0.609274,0.335328,3.27376,3.54752,3.80039,1.95679,2.21472,2.47315,5.72496,6,4.665,4.79905,4.52638,0,0.167664,4.05441,4.2995,2.73657,3,0.831158,1.21665,1.03483,

 Time(s),  P(Pa) on vertices
375,329929,321811,334312,95201.2,75262.1,52839.9,351828,350166,352980,237425,217745,198561,311933,300049,286814,26532.5,0,125682,113609,137983,354244,353925,178132,157675,271923,255672,346645,337773,342330,
400,320749,312738,325078,91949.9,72676.8,51015.5,342410,340764,343551,229992,210808,192136,303004,291314,278316,25613.5,0,121440,109755,133352,344804,344489,172288,152436,263717,247815,337276,328498,333006,
425,311766,303888,316025,88911.7,70263.8,49314.5,333106,331481,334232,222915,204229,186062,294325,282857,270123,24757.2,0,117466,106149,129009,335468,335157,166780,147511,255840,240303,328042,319393,323833,
450,302988,295263,307168,86052.7,67995.5,47716.9,323948,322350,325055,216151,197960,180292,285891,274665,262211,23953.5,0,113719,102751,124909,326271,325964,161559,142855,248258,233099,318970,310474,314834,
475,294423,286862,298516,83346.6,65850.3,46207.2,314959,313393,316045,209665,191965,174786,277696,266725,254563,23194.2,0,110166,99531.8,121018,317238,316937,156589,138430,240950,226171,310078,301754,306026,
500,286073,278685,290074,80772.5,63811.2,44773.1,306157,304624,307220,203430,186213,169515,269733,259025,247162,22473.3,0,106782,96467.1,117310,308387,308093,151837,134206,233893,219497,301381,293240,297417,
525,277940,270730,281845,78314.1,61865,43405,297553,296055,298591,197423,180683,164453,261997,251556,239995,21785.8,0,103545,93538.2,113761,299732,299444,147282,130161,227070,213057,292887,284936,289015,
550,270021,262992,273830,75958.5,60001,42095.2,289153,287691,290166,191628,175353,159581,254481,244309,233051,21127.8,0,100441,90730.1,110357,291279,290999,142902,126277,220469,206833,284600,276844,280823,
575,262317,255469,266027,73695.3,58210.9,40837.8,280961,279537,281949,186028,170210,154885,247180,237277,226318,20496.2,0,97456.9,88031.1,107082,283034,282761,138683,122538,214076,200813,276523,268964,272842,
600,254822,248156,258435,71516.2,56487.7,39627.7,272980,271592,273942,180612,165240,150349,240087,230450,219789,19888.5,0,94581.4,85431.2,103926,274999,274733,134612,118933,207881,194984,268657,261295,265071,
625,247535,241048,251050,69414.2,54826,38461.1,265208,263857,266145,175369,160431,145965,233198,223823,213454,19302.7,0,91806.4,82922.8,100879,267174,266915,130679,115451,201876,189338,261000,253834,257510,
650,240450,234140,243870,67383.9,53221.3,37334.7,257645,256330,258556,170290,155776,141722,226505,217389,207308,18737.2,0,89124.9,80499.3,97934.3,259558,259306,126874,112085,196052,183865,253550,246578,250154,
675,233564,227428,236890,65420.6,51669.7,36245.7,250287,249008,251174,165367,151266,137613,220004,211142,201342,18190.5,0,86530.9,78155.3,95085.5,252148,251903,123191,108828,190401,178558,246304,239523,243001,
700,226872,220907,230105,63520.2,50168.2,35192,243132,241888,243994,160593,146894,133631,213690,205075,195550,17661.6,0,84019.6,75886.3,92327.1,244941,244703,119623,105673,184918,173410,239259,232666,236047,
725,220369,214571,223512,61679.6,48714,34171.6,236175,234966,237013,155963,142654,129771,207557,199184,189928,17149.3,0,81586.7,73688.2,89654.5,237934,237702,116165,102616,179597,168415,232410,226001,229288,
750,214050,208415,217105,59895.8,47304.7,33182.8,229412,228237,230227,151470,138542,126027,201599,193463,184469,16653,0,79228.5,71557.8,87063.7,231122,230897,112812,99652.1,174431,163567,225753,219524,222719,
