Y Coordinates:
1.32842,1.59689,5.59979,5.7999,5.42631,0.461895,0.64657,0.230948,6,0.85134,2.02705,2.22073,3.26125,3.39386,1.19537,1.06366,3.81712,4.04305,4.20103,4.57482,4.764,4.3868,3,3.095,3.59613,0,4.95317,5.14454,1.87201,2.51863,2.68117,2.8404,

 Time(s),  P(Pa) on vertices
950,172207,167397,19157.7,9592.07,27410,181821,180536,182821,0,178626,157979,153077,120356,115507,174260,176102,99071.8,89793.6,83120.9,66779.2,58242.8,75085.9,129520,126254,107812,183169,49580.8,40683.2,161615,144781,139864,134819,
975,167264,162592,18607.2,9316.44,26622.4,176604,175355,177574,0,173500,153444,148683,116899,112190,169259,171048,96226,87214.1,80733.1,64860.6,56569.4,72928.8,125800,122628,104715,177913,48156.2,39514.2,156976,140624,135848,130948,
1000,162463,157925,18072.6,9048.78,25857.5,171535,170323,172478,0,168520,149039,144414,113542,108968,164401,166138,93462.3,84709.1,78414.2,62997.5,54944.3,70834,122188,119107,101708,172807,46772.8,38379,152469,136587,131948,127188,
1025,157800,153392,17553.5,8788.86,25114.8,166612,165434,167528,0,163683,144760,140268,110282,105839,159682,161370,90778.3,82276.4,76162.1,61188.1,53366.2,68799.6,118680,115687,98787.2,167847,45429.4,37276.6,148093,132666,128159,123536,
1050,153271,148989,17049.4,8536.44,24393.5,161830,160686,162719,0,158985,140605,136242,107116,102800,155099,156738,88171.6,79913.7,73975,59430.8,51833.6,66823.8,115272,112365,95950.6,163030,44124.7,36206,143842,128857,124480,119989,
1075,148871,144712,16559.7,8291.29,23693,157185,156074,158049,0,154422,136569,132331,104040,99848.5,150647,152239,85639.9,77619,71850.8,57724.2,50345.1,64904.9,111963,109139,93195.6,158350,42857.5,35166.3,139712,125158,120906,116544,
1100,144598,140558,16084.2,8053.2,23012.6,152673,151594,153512,0,149989,132648,128532,101053,96981.8,146322,147869,83180.9,75390.4,69787.7,56066.7,48899.5,63041.3,108748,106006,90519.8,153805,41626.9,34156.5,135702,121565,117435,113199,
1125,140447,136523,15622.4,7821.96,22351.8,148291,147242,149106,0,145684,128840,124842,98151.9,94197.4,142122,143624,80792.7,73225.8,67784,54456.9,47495.4,61231.2,105626,102962,87920.9,149390,40431.7,33175.8,131806,118075,114064,109949,
1150,136415,132604,15173.8,7597.37,21710.1,144034,143016,144826,0,141502,125142,121258,95334.1,91493.1,138042,139502,78473.2,71123.4,65837.8,52893.4,46131.8,59473.2,102594,100006,85396.8,145102,39270.8,32223.2,128023,114685,110789,106792,
1175,132499,128797,14738.2,7379.24,21086.8,139899,138910,140668,0,137440,121549,117777,92597.2,88866.4,134080,135497,76220.2,69081.5,63947.6,51374.8,44807.3,57765.7,99648.6,97135.4,82945.1,140937,38143.3,31298.1,124347,111393,107609,103727,
