Y Coordinates:
0,0.15,0.3,0.45,0.6,0.75,0.9,1.05,1.2,1.35,1.5,1.65,1.8,1.95,2.1,2.25,2.4,2.55,2.7,2.85,3,3.15,3.3,3.45,3.6,3.75,3.9,4.05,4.2,4.35,4.5,4.65,4.8,4.95,5.1,5.25,5.4,5.55,5.7,5.85,6,

 Time(s),  P(Pa) on vertices
475,317282,317044,316334,315151,313497,311374,308787,305754,302209,298223,293798,288943,283633,277883,271709,265114,258110,250721,242899,234711,226159,217229,207968,198367,188445,178220,167731,156930,145870,134585,123090,111367,99466.6,87400.5,75185.9,62847.2,50404.5,37879.9,25288.8,12656.4,0,
500,308430,308198,307502,306344,304726,302648,300118,297151,293684,289788,285462,280718,275530,269916,263889,257453,250621,243416,235792,227815,219485,210792,201780,192440,182791,172852,162660,152168,141430,130475,119319,107946,96403.8,84703.2,72861.1,60900.7,48841.2,36703.8,24503,12262.9,0,
525,299774,299546,298866,297735,296154,294124,291652,288755,285369,281565,277342,272713,267652,262176,256298,250024,243366,236346,228920,221153,213045,204586,195819,186736,177356,167697,157794,147603,137175,126540,115711,104675,93476.7,82126.8,70641.4,59042.9,47349.6,35581.9,23753.6,11887.7,0,
550,291320,291098,290434,289330,287787,285807,283395,280569,277267,273556,269439,264926,259992,254655,248928,242817,236332,229497,222269,214710,206822,198594,190068,181238,172120,162734,153112,143214,133087,122761,112249,101538,90670.4,79657.7,68515,57263.7,45921.5,34507.9,23036.2,11528.6,0,
575,283074,282857,282210,281134,279630,277699,275348,272594,269376,265760,261749,257352,252547,247349,241773,235824,229512,222860,215827,208474,200802,192801,184512,175929,167068,157948,148600,138986,129151,119125,108919,98521,87973,77285.2,66472.3,55555,44550.2,33476.9,22347.7,11183.9,0,
600,275037,274826,274196,273148,271683,269802,267512,264830,261696,258175,254269,249989,245311,240252,234825,229036,222895,216425,209585,202434,194974,187196,179139,170797,162187,153325,144245,134906,125355,115618,105709,95614.3,85374.9,75000.5,64505.7,53910.2,43230.5,32484.7,21685.2,10852.3,0,
625,267211,267006,266392,265371,263945,262114,259885,257274,254224,250797,246996,242831,238279,233358,228079,222448,216475,210183,203532,196580,189328,181767,173937,165831,157465,148856,140035,130964,121688,112233,102610,92809.2,82868,72796.7,62609,52324.2,41958.2,31528.3,21046.5,10532.6,0,
650,259593,259393,258797,257803,256415,254634,252465,249925,246957,243624,239926,235874,231447,226661,221527,216052,210244,204127,197661,190903,183855,176508,168899,161022,152894,144531,135962,127151,118142,108960,99615.6,90098.4,80446.1,70667.8,60777.2,50792.6,40729.5,30604.8,20429.9,10224,0,
675,252182,251988,251407,250441,249091,247358,245249,242778,239892,236650,233054,229114,224810,220156,215165,209842,204196,198250,191966,185398,178548,171408,164015,156362,148466,140341,132018,123460,114710,105792,96718.1,87476.2,78103.6,68609.1,59005.8,49311.8,39541.7,29712,19833.9,9925.65,0,
700,244974,244785,244221,243281,241968,240284,238233,235830,233023,229872,226376,222546,218361,213837,208985,203811,198325,192546,186438,180056,173400,166463,159280,151845,144174,136282,128196,119885,111386,102725,93912.5,84937.5,75836,66616.4,57291.5,47878.7,38392.3,28848.2,19257.1,9637,0,
