Y Coordinates:
0,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1,1.11111,1.22222,1.33333,1.44444,1.55556,1.66667,1.77778,1.88889,2,2.11111,2.22222,2.33333,2.44445,2.55556,2.66667,2.77778,2.88889,3,3.11111,3.22222,3.33333,3.44444,3.55556,3.66667,3.77778,3.88889,4,4.11111,4.22222,4.33333,4.44444,4.55556,4.66667,4.77778,4.88889,5,5.11111,5.22222,5.33333,5.44445,5.55556,5.66667,5.77778,5.88889,6,

 Time(s),  P(Pa) on vertices
1800,68034.8,68006.6,67919.4,67777.7,67574.1,67314.2,67001.2,66626.7,66202.7,65715.3,65174.7,64579,63929.4,63228.4,62469.4,61659.5,60796.6,59883.6,58918.9,57906.4,56840.6,55728.6,54572,53366,52117.1,50825,49486.6,48107.3,46688.7,45231,43731.9,42197.4,40628.3,39022.9,37387.2,35715.6,34016.8,32287.9,30532.5,28751.2,26946.9,25118.6,23268.3,21399.2,19512.1,17608.4,15690.4,13757.7,11813.9,9860.46,7898.22,5929.53,3956.01,1978.8,0,
1825,66081.6,66054.3,65969.6,65831.9,65634.2,65381.7,65077.8,64714,64302.1,63828.7,63303.6,62725.1,62094.1,61413.2,60676,59889.4,59051.3,58164.5,57227.4,56244,55208.9,54128.8,53005.4,51834,50621,49365.9,48065.9,46726.2,45348.4,43932.5,42476.4,40986,39462,37902.6,36313.9,34690.3,33040.3,31361,29656,27925.8,26173.3,24397.5,22600.3,20784.8,18952,17102.9,15239.9,13362.7,11474.8,9577.39,7671.48,5759.31,3842.44,1921.99,0,
1850,64184.6,64158,64075.8,63942,63750,63504.8,63209.5,62856.2,62456.2,61996.3,61486.3,60924.4,60311.5,59650.2,58934.1,58170.1,57356,56494.7,55584.6,54629.3,53623.9,52574.9,51483.7,50346,49167.7,47948.7,46686.1,45384.8,44046.5,42671.3,41257,39809.4,38329.1,36814.5,35271.4,33694.4,32091.8,30460.7,28804.6,27124.1,25421.9,23697.1,21951.5,20188.1,18407.9,16611.9,14802.4,12979.1,11145.4,9302.44,7451.25,5593.97,3732.13,1866.81,0,
1875,62342,62316.2,62236.3,62106.4,61919.8,61681.7,61394.9,61051.7,60663.2,60216.6,59721.2,59175.4,58580.1,57937.8,57242.3,56500.2,55709.4,54872.9,53988.8,53061.1,52084.5,51065.5,50005.7,48900.7,47756.2,46572.2,45345.8,44081.9,42782,41446.3,40072.6,38666.6,37228.8,35757.6,34258.8,32727.1,31170.5,29586.3,27977.7,26345.5,24692.1,23016.8,21321.3,19608.6,17879.4,16135,14377.5,12606.5,10825.4,9035.39,7237.34,5433.38,3624.99,1813.22,0,
1900,60552.3,60527.2,60449.6,60323.4,60142.2,59910.9,59632.4,59299,58921.7,58487.9,58006.7,57476.6,56898.4,56274.5,55599,54878.2,54110.1,53297.6,52438.9,51537.8,50589.3,49599.6,48570.2,47496.8,46385.3,45235.2,44044,42816.4,41553.8,40256.4,38922.2,37556.5,36160,34731.1,33275.3,31787.6,30275.6,28736.9,27174.5,25589.1,23983.3,22356.1,20709.3,19045.7,17366.2,15671.8,13964.7,12244.6,10514.6,8776,7029.57,5277.4,3520.92,1761.17,0,
1925,58813.9,58789.6,58714.2,58591.7,58415.7,58191,57920.5,57596.7,57230.1,56808.8,56341.5,55826.6,55265,54659,54002.8,53302.8,52556.8,51767.5,50933.5,50058.2,49137,48175.7,47175.8,46133.3,45053.6,43936.6,42779.6,41587.2,40360.9,39100.8,37804.8,36478.4,35121.9,33734,32320,30875,29406.5,27911.9,26394.4,24854.5,23294.8,21714.3,20114.7,18498.9,16867.6,15221.9,13563.8,11893.1,10212.8,8524.06,6827.76,5125.9,3419.85,1710.61,0,
1950,57125.5,57101.9,57028.7,56909.6,56738.7,56520.5,56257.7,55943.2,55587.2,55177.9,54724,54223.9,53678.4,53089.8,52452.5,51772.6,51048,50281.4,49471.3,48621.2,47726.3,46792.6,45821.5,44808.9,43760.3,42675.3,41551.5,40393.4,39202.2,37978.3,36719.5,35431.2,34113.7,32765.6,31392.2,29988.6,28562.3,27110.6,25636.7,24141,22626,21090.9,19537.3,17967.8,16383.4,14784.9,13174.5,11551.6,9919.61,8279.35,6631.75,4978.75,3321.67,1661.5,0,
1975,55485.6,55462.6,55391.5,55275.9,55109.9,54897.9,54642.7,54337.2,53991.4,53593.9,53153,52667.2,52137.4,51565.7,50946.7,50286.3,49582.5,48837.9,48051.1,47225.4,46356.2,45449.3,44506.1,43522.5,42504,41450.2,40358.7,39233.8,38076.8,36888,35665.4,34414,33134.3,31825,30491,29127.7,27742.3,26332.3,24900.7,23448,21976.5,20485.4,18976.4,17452,15913,14360.5,12796.2,11220,9634.83,8041.67,6441.37,4835.82,3226.31,1613.8,0,
2000,53892.7,53870.4,53801.3,53689,53527.8,53321.9,53074,52777.3,52441.4,52055.3,51627.1,51155.3,50640.7,50085.4,49484.2,48842.7,48159.1,47435.9,46671.7,45869.6,45025.4,44144.6,43228.4,42273.1,41283.8,40260.2,39200,38107.4,36983.7,35829,34641.5,33426.1,32183.1,30911.4,29615.7,28291.5,26945.9,25576.4,24185.9,22774.8,21345.6,19897.3,18431.6,16951,15456.2,13948.2,12428.9,10897.9,9358.24,7810.81,6256.45,4696.99,3133.69,1567.47,0,
2025,52345.5,52323.9,52256.8,52147.7,51991.1,51791.1,51550.4,51262.2,50935.9,50560.9,50145,49686.7,49186.9,48647.5,48063.6,47440.5,46776.5,46074.1,45331.8,44552.8,43732.8,42877.3,41987.4,41059.5,40098.6,39104.4,38074.7,37013.5,35922,34800.4,33647,32466.5,31259.2,30024,28765.5,27479.4,26172.3,24842.2,23491.5,22121,20732.8,19326.1,17902.5,16464.4,15012.5,13547.8,12072.1,10585.1,9089.58,7586.58,6076.84,4562.15,3043.73,1522.47,0,
