X Coordinates:
9.85075,10,9.7015,9.55224,9.40299,9.25374,9.10448,8.95523,8.80597,8.65672,8.50747,8.35821,8.20896,8.05971,7.91045,7.7612,7.61194,7.46269,7.31344,7.16418,7.01493,6.86567,6.71642,6.56717,6.41791,6.26866,6.11941,5.97015,5.8209,5.67164,5.52239,5.37314,5.22388,5.07463,4.92537,4.77612,4.62687,4.47761,4.32836,4.17911,4.02985,3.8806,3.73134,3.58209,3.43284,3.28358,3.13433,2.98507,2.83582,2.68657,2.53731,2.38806,2.23881,2.08955,1.9403,1.79104,1.64179,1.49254,1.34328,1.19403,1.04478,0.895522,0.746269,0.597015,0.447761,0.298507,0.149254,0,

 Time(s),  P(Pa) on vertices
250,12.5559,0,25.0524,37.4522,49.7296,61.8552,73.7943,85.5349,97.0489,108.304,119.273,129.945,140.298,150.32,159.995,169.311,178.258,186.829,195.019,202.84,210.229,217.268,223.954,230.2,236.11,241.646,246.847,251.671,256.175,260.358,264.233,267.816,271.112,274.147,276.93,279.471,281.787,283.904,285.818,287.551,289.114,290.523,291.793,292.92,293.931,294.83,295.632,296.34,296.968,297.517,298.002,298.427,298.798,299.121,299.402,299.644,299.853,300.032,300.185,300.315,300.423,300.512,300.586,300.642,300.685,300.716,300.733,300.739,
275,12.0086,0,23.9631,35.8307,47.5894,59.2135,70.6726,81.9564,93.04,103.895,114.497,124.836,134.892,144.654,154.106,163.238,172.04,180.503,188.623,196.407,203.8,210.873,217.622,223.965,229.996,235.678,241.048,246.061,250.77,255.173,259.28,263.105,266.649,269.936,272.976,275.773,278.344,280.712,282.874,284.848,286.646,288.281,289.77,291.104,292.313,293.399,294.379,295.252,296.036,296.729,297.347,297.896,298.381,298.807,299.182,299.51,299.795,300.042,300.256,300.439,300.593,300.721,300.827,300.91,300.973,301.018,301.044,301.052,
300,11.5313,0,23.0128,34.4154,45.7199,56.9036,67.9397,78.8192,89.5197,100.016,110.286,120.321,130.102,139.62,148.859,157.81,166.462,174.808,182.841,190.57,197.939,205.016,211.794,218.197,224.31,230.097,235.592,240.75,245.621,250.2,254.496,258.519,262.272,265.774,269.032,272.052,274.846,277.438,279.822,282.015,284.028,285.873,287.565,289.096,290.494,291.761,292.913,293.95,294.889,295.727,296.481,297.157,297.759,298.294,298.769,299.188,299.554,299.876,300.157,300.398,300.603,300.775,300.918,301.03,301.116,301.178,301.213,301.224,
325,11.1103,0,22.1743,33.1661,44.0686,54.8616,65.5212,76.0395,86.3964,96.5692,106.538,116.294,125.822,135.11,144.146,152.921,161.424,169.647,177.586,185.245,192.574,199.633,206.416,212.851,219.016,224.877,230.463,235.732,240.728,245.448,249.897,254.085,258.012,261.695,265.141,268.353,271.343,274.132,276.714,279.103,281.311,283.348,285.228,286.942,288.518,289.957,291.274,292.469,293.558,294.538,295.428,296.23,296.95,297.596,298.173,298.685,299.137,299.536,299.887,300.19,300.449,300.668,300.851,300.995,301.105,301.186,301.23,301.246,
350,10.7354,0,21.4274,32.0527,42.596,53.0395,63.3613,73.5544,83.6009,93.48,103.173,112.674,121.966,131.04,139.884,148.489,156.845,164.946,172.784,180.365,187.641,194.668,201.438,207.885,214.079,219.989,225.64,230.992,236.087,240.919,245.492,249.815,253.887,257.724,261.33,264.707,267.867,270.83,273.586,276.152,278.535,280.746,282.799,284.682,286.423,288.022,289.495,290.84,292.073,293.191,294.211,295.136,295.973,296.728,297.406,298.013,298.551,299.029,299.451,299.817,300.133,300.4,300.624,300.8,300.937,301.036,301.091,301.11,
375,10.3986,0,20.7565,31.0522,41.2723,51.4004,61.4169,71.3154,81.0796,90.6906,100.131,109.396,118.469,127.343,136.005,144.448,152.662,160.64,168.375,175.873,183.089,190.072,196.817,203.26,209.467,215.406,221.102,226.516,231.686,236.606,241.279,245.714,249.906,253.872,257.614,261.135,264.442,267.556,270.467,273.189,275.73,278.098,280.307,282.344,284.237,285.986,287.604,289.09,290.459,291.707,292.852,293.896,294.846,295.706,296.484,297.182,297.806,298.362,298.855,299.284,299.655,299.971,300.237,300.446,300.608,300.727,300.793,300.815,
400,10.094,0,20.1495,30.1469,40.0739,49.9158,59.6545,69.2845,78.7906,88.1556,97.364,106.41,115.279,123.965,132.456,140.744,148.82,156.677,164.311,171.722,178.872,185.805,192.515,198.943,205.148,211.102,216.827,222.285,227.512,232.501,237.254,241.779,246.072,250.146,254.004,257.647,261.083,264.329,267.376,270.236,272.917,275.426,277.777,279.955,281.987,283.872,285.625,287.241,288.738,290.108,291.371,292.528,293.585,294.546,295.419,296.207,296.912,297.544,298.106,298.597,299.023,299.387,299.693,299.935,300.123,300.26,300.337,300.363,
425,9.81678,0,19.5969,29.3225,38.9823,48.5627,58.0474,67.4312,76.7003,85.8387,94.832,103.675,112.355,120.864,129.192,137.332,145.276,153.016,160.548,167.873,174.953,181.83,188.499,194.902,201.096,207.053,212.794,218.282,223.55,228.592,233.409,238.008,242.383,246.548,250.504,254.252,257.798,261.16,264.326,267.308,270.114,272.749,275.227,277.531,279.69,281.7,283.576,285.313,286.927,288.412,289.785,291.047,292.205,293.262,294.226,295.098,295.882,296.586,297.214,297.765,298.244,298.653,298.999,299.273,299.486,299.641,299.728,299.758,
450,9.56303,0,19.0911,28.5676,37.9824,47.323,56.5741,65.7312,74.7815,83.7102,92.504,101.158,109.66,118.003,126.178,134.178,141.994,149.62,157.051,164.289,171.298,178.116,184.738,191.11,197.285,203.237,208.983,214.489,219.787,224.868,229.735,234.393,238.836,243.077,247.116,250.953,254.594,258.055,261.326,264.416,267.332,270.079,272.67,275.089,277.362,279.485,281.474,283.321,285.044,286.633,288.108,289.469,290.721,291.868,292.916,293.867,294.725,295.497,296.189,296.796,297.325,297.779,298.162,298.466,298.703,298.876,298.973,299.006,
475,9.32962,0,18.6258,27.8731,37.0621,46.1815,55.217,64.1645,73.012,81.746,90.3539,98.8311,107.166,115.354,123.383,131.249,138.943,146.459,153.792,160.943,167.879,174.636,181.208,187.544,193.694,199.632,205.376,210.891,216.207,221.318,226.223,230.927,235.425,239.729,243.837,247.75,251.473,255.02,258.381,261.566,264.579,267.426,270.118,272.639,275.014,277.24,279.33,281.278,283.1,284.785,286.354,287.805,289.144,290.374,291.501,292.526,293.453,294.29,295.04,295.7,296.277,296.771,297.19,297.523,297.782,297.972,298.078,298.114,
