X Coordinates:
5.41247,5.76828,8.96036,9.30718,8.54177,7.20553,7.65076,6.69203,1.1363,1.40899,0.730264,6.11861,6.37302,8.09558,2.59606,3.04066,2.32883,3.64428,4.2528,4.58686,0,0.365132,9.75833,10,1.67385,4.95263,9.51701,2.06611,

 Time(s),  sigmaYY(Pa) on vertices
425,-829.262,-831.919,-862.01,-866.467,-857.552,-842.986,-847.694,-839.054,-817.759,-818.02,-817.589,-834.222,-836.36,-852.56,-819.575,-820.595,-819.08,-822.07,-823.558,-825.592,-817.429,-817.466,-872.619,-874.177,-818.306,-827.308,-869.733,-818.676,
450,-831.299,-833.987,-863.693,-868.042,-859.333,-845.016,-849.662,-841.122,-819.28,-819.567,-819.092,-836.299,-838.437,-854.444,-821.254,-822.341,-820.721,-823.895,-825.45,-827.553,-818.914,-818.956,-874.037,-875.555,-819.88,-829.309,-871.226,-820.283,
475,-833.275,-835.986,-865.315,-869.565,-861.047,-846.967,-851.552,-843.112,-820.792,-821.104,-820.588,-838.303,-840.439,-856.253,-822.913,-824.062,-822.344,-825.686,-827.301,-829.465,-820.393,-820.439,-875.416,-876.897,-821.442,-831.254,-872.673,-821.876,
500,-835.192,-837.921,-866.883,-871.041,-862.701,-848.847,-853.371,-845.03,-822.297,-822.632,-822.077,-840.241,-842.371,-857.997,-824.553,-825.758,-823.951,-827.445,-829.112,-831.329,-821.866,-821.916,-876.758,-878.204,-822.992,-833.146,-874.078,-823.455,
525,-837.055,-839.798,-868.401,-872.473,-864.299,-850.662,-855.128,-846.883,-823.794,-824.15,-823.559,-842.116,-844.239,-859.68,-826.174,-827.429,-825.543,-829.172,-830.887,-833.149,-823.334,-823.387,-878.066,-879.48,-824.532,-834.99,-875.444,-825.021,
550,-838.868,-841.62,-869.874,-873.866,-865.848,-852.417,-856.826,-848.676,-825.284,-825.659,-825.036,-843.935,-846.049,-861.309,-827.777,-829.077,-827.119,-830.87,-832.625,-834.926,-824.798,-824.854,-879.343,-880.728,-826.061,-836.787,-876.776,-826.574,
575,-840.634,-843.391,-871.306,-875.222,-867.351,-854.117,-858.471,-850.415,-826.767,-827.159,-826.507,-845.701,-847.806,-862.888,-829.361,-830.702,-828.679,-832.538,-834.33,-836.664,-826.256,-826.315,-880.591,-881.949,-827.579,-838.54,-878.075,-828.113,
600,-842.356,-845.115,-872.7,-876.545,-868.813,-855.767,-860.068,-852.102,-828.242,-828.651,-827.971,-847.418,-849.512,-864.421,-830.929,-832.305,-830.225,-834.18,-836.002,-838.364,-827.71,-827.772,-881.813,-883.144,-829.086,-840.253,-879.345,-829.64,
625,-844.037,-846.796,-874.059,-877.838,-870.236,-857.371,-861.62,-853.743,-829.711,-830.133,-829.43,-849.09,-851.172,-865.912,-832.479,-833.886,-831.756,-835.794,-837.644,-840.029,-829.158,-829.222,-883.01,-884.317,-830.583,-841.927,-880.587,-831.154,
650,-845.679,-848.435,-875.386,-879.101,-871.623,-858.932,-863.131,-855.341,-831.171,-831.607,-830.881,-850.719,-852.789,-867.364,-834.012,-835.447,-833.272,-837.384,-839.256,-841.66,-830.601,-830.668,-884.183,-885.467,-832.069,-843.565,-881.803,-832.656,
675,-847.285,-850.036,-876.682,-880.337,-872.977,-860.453,-864.603,-856.899,-832.624,-833.071,-832.326,-852.31,-854.366,-868.78,-835.529,-836.987,-834.774,-838.949,-840.84,-843.26,-832.038,-832.106,-885.335,-886.597,-833.544,-845.169,-882.994,-834.145,
700,-848.857,-851.601,-877.951,-881.549,-874.3,-861.937,-866.04,-858.419,-834.069,-834.525,-833.764,-853.863,-855.906,-870.163,-837.03,-838.509,-836.262,-840.491,-842.398,-844.829,-833.469,-833.539,-886.466,-887.707,-835.008,-846.741,-884.163,-835.621,
725,-850.397,-853.132,-879.193,-882.737,-875.595,-863.387,-867.443,-859.904,-835.505,-835.971,-835.194,-855.382,-857.411,-871.514,-838.515,-840.011,-837.736,-842.011,-843.93,-846.37,-834.893,-834.965,-887.577,-888.799,-836.462,-848.283,-885.31,-837.085,
750,-851.906,-854.632,-880.411,-883.903,-876.862,-864.805,-868.816,-861.356,-836.933,-837.406,-836.617,-856.869,-858.883,-872.836,-839.984,-841.496,-839.196,-843.509,-845.438,-847.884,-836.311,-836.383,-888.67,-889.874,-837.905,-849.796,-886.438,-838.537,
775,-853.388,-856.102,-881.605,-885.048,-878.105,-866.193,-870.16,-862.778,-838.352,-838.831,-838.031,-858.325,-860.325,-874.131,-841.439,-842.962,-840.643,-844.987,-846.924,-849.373,-837.72,-837.794,-889.746,-890.932,-839.337,-851.283,-887.546,-839.977,
800,-854.842,-857.544,-882.778,-886.173,-879.324,-867.552,-871.477,-864.17,-839.762,-840.247,-839.437,-859.753,-861.738,-875.401,-842.879,-844.412,-842.076,-846.445,-848.387,-850.837,-839.122,-839.197,-890.805,-891.974,-840.757,-852.743,-888.636,-841.404,
825,-856.271,-858.96,-883.93,-887.28,-880.521,-868.885,-872.768,-865.536,-841.163,-841.652,-840.835,-861.154,-863.125,-876.646,-844.304,-845.845,-843.496,-847.884,-849.829,-852.278,-840.516,-840.592,-891.848,-893.001,-842.167,-854.18,-889.709,-842.819,
850,-857.676,-860.35,-885.063,-888.369,-881.696,-870.193,-874.035,-866.877,-842.554,-843.047,-842.223,-862.53,-864.485,-877.869,-845.716,-847.262,-844.903,-849.305,-851.251,-853.697,-841.902,-841.978,-892.876,-894.014,-843.566,-855.593,-890.766,-844.222,
875,-859.058,-861.718,-886.177,-889.442,-882.852,-871.478,-875.279,-868.193,-843.935,-844.432,-843.602,-863.882,-865.822,-879.07,-847.113,-848.663,-846.297,-850.708,-852.654,-855.095,-843.279,-843.356,-893.89,-895.012,-844.953,-856.984,-891.808,-845.613,
900,-860.419,-863.062,-887.274,-890.498,-883.989,-872.74,-876.502,-869.487,-845.307,-845.806,-844.973,-865.211,-867.136,-880.252,-848.496,-850.049,-847.678,-852.094,-854.038,-856.473,-844.647,-844.724,-894.89,-895.998,-846.33,-858.354,-892.834,-846.992,
