X Coordinates:
9.8,10,9.6,9.4,9.2,9,8.8,8.6,8.4,8.2,8,7.8,7.6,7.4,7.2,7,6.8,6.6,6.4,6.2,6,5.8,5.6,5.4,5.2,5,4.8,4.6,4.4,4.2,4,3.8,3.6,3.4,3.2,3,2.8,2.6,2.4,2.2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0,

 Time(s),  sigmaYY(Pa) on vertices
250,-861.677,-863.478,-858.547,-855.445,-851.762,-848.792,-846.079,-842.824,-840.701,-837.351,-834.891,-832.278,-830.023,-827.917,-825.846,-823.869,-822.011,-820.233,-818.829,-817.511,-816.04,-815.045,-813.871,-813.132,-812.184,-811.327,-810.617,-810.088,-809.509,-809.013,-808.636,-808.3,-807.99,-807.72,-807.493,-807.319,-807.157,-807.019,-806.899,-806.8,-806.722,-806.658,-806.602,-806.558,-806.525,-806.496,-806.474,-806.46,-806.449,-806.443,-806.441,
275,-863.516,-865.239,-860.52,-857.549,-854.018,-851.164,-848.554,-845.413,-843.357,-840.106,-837.706,-835.147,-832.93,-830.849,-828.791,-826.815,-824.945,-823.142,-821.709,-820.354,-818.83,-817.79,-816.551,-815.763,-814.746,-813.817,-813.037,-812.451,-811.801,-811.237,-810.803,-810.411,-810.046,-809.723,-809.448,-809.233,-809.032,-808.856,-808.702,-808.572,-808.469,-808.383,-808.307,-808.246,-808.199,-808.159,-808.126,-808.107,-808.09,-808.082,-808.079,
300,-865.266,-866.921,-862.387,-859.532,-856.133,-853.383,-850.864,-847.825,-845.831,-842.671,-840.327,-837.821,-835.643,-833.588,-831.549,-829.581,-827.708,-825.89,-824.437,-823.056,-821.49,-820.414,-819.123,-818.296,-817.222,-816.23,-815.389,-814.753,-814.042,-813.416,-812.929,-812.486,-812.069,-811.696,-811.373,-811.118,-810.877,-810.664,-810.475,-810.314,-810.184,-810.074,-809.977,-809.897,-809.835,-809.781,-809.738,-809.711,-809.688,-809.677,-809.673,
325,-866.939,-868.534,-864.165,-861.411,-858.13,-855.472,-853.034,-850.089,-848.15,-845.074,-842.784,-840.33,-838.189,-836.163,-834.144,-832.189,-830.318,-828.493,-827.027,-825.628,-824.031,-822.928,-821.595,-820.735,-819.613,-818.569,-817.676,-816.996,-816.229,-815.547,-815.013,-814.523,-814.057,-813.637,-813.269,-812.976,-812.696,-812.447,-812.223,-812.03,-811.873,-811.739,-811.618,-811.519,-811.441,-811.373,-811.318,-811.284,-811.254,-811.24,-811.235,
350,-868.546,-870.087,-865.864,-863.201,-860.026,-857.451,-855.087,-852.225,-850.338,-847.34,-845.1,-842.695,-840.591,-838.595,-836.599,-834.659,-832.795,-830.968,-829.495,-828.083,-826.463,-825.338,-823.972,-823.085,-821.922,-820.835,-819.896,-819.178,-818.363,-817.632,-817.054,-816.521,-816.011,-815.547,-815.136,-814.807,-814.49,-814.206,-813.948,-813.723,-813.539,-813.381,-813.238,-813.118,-813.025,-812.942,-812.875,-812.833,-812.796,-812.778,-812.773,
375,-870.094,-871.587,-867.496,-864.914,-861.834,-859.334,-857.037,-854.253,-852.413,-849.486,-847.294,-844.935,-842.867,-840.9,-838.928,-837.006,-835.151,-833.327,-831.85,-830.431,-828.794,-827.652,-826.26,-825.351,-824.155,-823.03,-822.053,-821.302,-820.445,-819.669,-819.053,-818.481,-817.931,-817.426,-816.976,-816.612,-816.26,-815.943,-815.652,-815.397,-815.187,-815.005,-814.839,-814.7,-814.591,-814.493,-814.413,-814.364,-814.32,-814.298,-814.292,
400,-871.589,-873.038,-869.066,-866.559,-863.565,-861.133,-858.898,-856.184,-854.388,-851.528,-849.381,-847.066,-845.033,-843.095,-841.147,-839.243,-837.401,-835.582,-834.105,-832.682,-831.034,-829.879,-828.466,-827.538,-826.316,-825.159,-824.149,-823.37,-822.475,-821.661,-821.009,-820.403,-819.815,-819.274,-818.787,-818.392,-818.007,-817.658,-817.337,-817.053,-816.817,-816.613,-816.425,-816.267,-816.142,-816.03,-815.938,-815.881,-815.83,-815.805,-815.797,
425,-873.037,-874.447,-870.583,-868.143,-865.229,-862.859,-860.68,-858.031,-856.276,-853.478,-851.373,-849.1,-847.101,-845.191,-843.267,-841.383,-839.554,-837.743,-836.269,-834.844,-833.188,-832.024,-830.595,-829.653,-828.408,-827.225,-826.186,-825.383,-824.455,-823.607,-822.924,-822.287,-821.666,-821.091,-820.571,-820.146,-819.732,-819.353,-819.003,-818.692,-818.433,-818.206,-817.998,-817.821,-817.681,-817.555,-817.451,-817.387,-817.329,-817.301,-817.292,
450,-874.442,-875.816,-872.051,-869.673,-866.831,-864.519,-862.392,-859.804,-858.086,-855.346,-853.281,-851.048,-849.082,-847.199,-845.299,-843.434,-841.62,-839.819,-838.349,-836.925,-835.265,-834.095,-832.653,-831.7,-830.436,-829.231,-828.168,-827.343,-826.388,-825.509,-824.8,-824.134,-823.484,-822.878,-822.328,-821.877,-821.434,-821.029,-820.652,-820.315,-820.033,-819.786,-819.558,-819.364,-819.21,-819.071,-818.956,-818.884,-818.82,-818.789,-818.779,
475,-875.809,-877.149,-873.475,-871.154,-868.38,-866.121,-864.041,-861.509,-859.827,-857.141,-855.114,-852.919,-850.983,-849.127,-847.251,-845.407,-843.608,-841.817,-840.353,-838.932,-837.271,-836.096,-834.645,-833.683,-832.404,-831.181,-830.097,-829.255,-828.275,-827.37,-826.636,-825.946,-825.269,-824.636,-824.058,-823.583,-823.115,-822.685,-822.283,-821.923,-821.62,-821.354,-821.108,-820.897,-820.73,-820.579,-820.453,-820.374,-820.304,-820.27,-820.26,
