Y Coordinates:
0.153846,0,0.307692,0.461538,0.615385,0.769231,0.923077,1.07692,1.23077,1.38462,1.53846,1.69231,1.84615,2,

 Time(s),  v(m) on vertices
250,-8.87102e-009,0,-1.7742e-008,-2.66131e-008,-3.54841e-008,-4.43551e-008,-5.32261e-008,-6.20971e-008,-7.09681e-008,-7.98392e-008,-8.87102e-008,-9.75812e-008,-1.06452e-007,-1.15323e-007,
275,-8.88844e-009,0,-1.77769e-008,-2.66653e-008,-3.55538e-008,-4.44422e-008,-5.33306e-008,-6.22191e-008,-7.11075e-008,-7.99959e-008,-8.88844e-008,-9.77728e-008,-1.06661e-007,-1.1555e-007,
300,-8.90514e-009,0,-1.78103e-008,-2.67154e-008,-3.56205e-008,-4.45257e-008,-5.34308e-008,-6.23359e-008,-7.12411e-008,-8.01462e-008,-8.90513e-008,-9.79565e-008,-1.06862e-007,-1.15767e-007,
325,-8.9212e-009,0,-1.78424e-008,-2.67636e-008,-3.56848e-008,-4.4606e-008,-5.35271e-008,-6.24483e-008,-7.13695e-008,-8.02907e-008,-8.92119e-008,-9.81331e-008,-1.07054e-007,-1.15975e-007,
350,-8.93669e-009,0,-1.78734e-008,-2.68101e-008,-3.57467e-008,-4.46834e-008,-5.36201e-008,-6.25568e-008,-7.14935e-008,-8.04302e-008,-8.93668e-008,-9.83035e-008,-1.0724e-007,-1.16177e-007,
375,-8.95168e-009,0,-1.79034e-008,-2.6855e-008,-3.58067e-008,-4.47584e-008,-5.371e-008,-6.26617e-008,-7.16134e-008,-8.05651e-008,-8.95167e-008,-9.84684e-008,-1.0742e-007,-1.16372e-007,
400,-8.96622e-009,0,-1.79324e-008,-2.68986e-008,-3.58648e-008,-4.48311e-008,-5.37973e-008,-6.27635e-008,-7.17297e-008,-8.06959e-008,-8.96621e-008,-9.86283e-008,-1.07594e-007,-1.16561e-007,
425,-8.98034e-009,0,-1.79607e-008,-2.6941e-008,-3.59213e-008,-4.49017e-008,-5.3882e-008,-6.28623e-008,-7.18426e-008,-8.0823e-008,-8.98033e-008,-9.87836e-008,-1.07764e-007,-1.16744e-007,
450,-8.99409e-009,0,-1.79882e-008,-2.69822e-008,-3.59763e-008,-4.49704e-008,-5.39645e-008,-6.29585e-008,-7.19526e-008,-8.09467e-008,-8.99407e-008,-9.89348e-008,-1.07929e-007,-1.16923e-007,
475,-9.00749e-009,0,-1.8015e-008,-2.70224e-008,-3.60299e-008,-4.50374e-008,-5.40449e-008,-6.30523e-008,-7.20598e-008,-8.10673e-008,-9.00747e-008,-9.90822e-008,-1.0809e-007,-1.17097e-007,
500,-9.02057e-009,0,-1.80411e-008,-2.70617e-008,-3.60822e-008,-4.51028e-008,-5.41233e-008,-6.31439e-008,-7.21644e-008,-8.1185e-008,-9.02055e-008,-9.92261e-008,-1.08247e-007,-1.17267e-007,
525,-9.03335e-009,0,-1.80667e-008,-2.71001e-008,-3.61334e-008,-4.51667e-008,-5.42001e-008,-6.32334e-008,-7.22667e-008,-8.13001e-008,-9.03334e-008,-9.93667e-008,-1.084e-007,-1.17433e-007,
550,-9.04587e-009,0,-1.80917e-008,-2.71376e-008,-3.61834e-008,-4.52293e-008,-5.42751e-008,-6.3321e-008,-7.23668e-008,-8.14127e-008,-9.04585e-008,-9.95044e-008,-1.0855e-007,-1.17596e-007,
575,-9.05812e-009,0,-1.81162e-008,-2.71744e-008,-3.62325e-008,-4.52906e-008,-5.43487e-008,-6.34068e-008,-7.24649e-008,-8.1523e-008,-9.05811e-008,-9.96392e-008,-1.08697e-007,-1.17755e-007,
600,-9.07014e-009,0,-1.81403e-008,-2.72104e-008,-3.62805e-008,-4.53507e-008,-5.44208e-008,-6.34909e-008,-7.2561e-008,-8.16312e-008,-9.07013e-008,-9.97714e-008,-1.08842e-007,-1.17912e-007,
625,-9.08194e-009,0,-1.81639e-008,-2.72458e-008,-3.63277e-008,-4.54096e-008,-5.44915e-008,-6.35735e-008,-7.26554e-008,-8.17373e-008,-9.08192e-008,-9.99011e-008,-1.08983e-007,-1.18065e-007,
