Y Coordinates:
0,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1,1.11111,1.22222,1.33333,1.44444,1.55556,1.66667,1.77778,1.88889,2,2.11111,2.22222,2.33333,2.44445,2.55556,2.66667,2.77778,2.88889,3,3.11111,3.22222,3.33333,3.44444,3.55556,3.66667,3.77778,3.88889,4,4.11111,4.22222,4.33333,4.44444,4.55556,4.66667,4.77778,4.88889,5,5.11111,5.22222,5.33333,5.44445,5.55556,5.66667,5.77778,5.88889,6,

 Time(s),  P(Pa) on vertices
600,61117.8,61035.2,60779.5,60364.3,59769.1,59011.4,58101.7,57017.5,55795,54397.9,52857.1,51170.6,49344.2,47388.2,45290.1,43071.7,40732.1,38283.1,35725.9,33074,30322.8,27491.2,24587.7,21611.4,18578.3,15494.6,12364.8,9202.02,8883.23,8561.99,8238.2,7912.22,7584.12,7253.81,6921.66,6587.34,6251.38,5913.61,5574.26,5233.36,4891.09,4547.4,4202.41,3856.31,3509.15,3161.01,2812.04,2462.2,2111.72,1760.67,1409.11,1057.18,704.956,352.523,0,
625,55567.4,55492.3,55259.8,54882.3,54341.2,53652.3,52825.2,51839.4,50727.9,49457.8,48056.9,46523.6,44863,43084.7,41177.1,39160.1,37033,34806.4,32481.4,30070.4,27569,24994.6,22354.7,19648.7,16891.1,14087.4,11241.9,8366.34,8076.49,7784.43,7490.04,7193.67,6895.37,6595.05,6293.07,5989.11,5683.66,5376.57,5068.03,4758.09,4446.91,4134.43,3820.77,3506.1,3190.47,2873.95,2556.66,2238.6,1919.95,1600.78,1281.14,961.168,640.936,320.509,0,
650,50521,50452.8,50241.4,49898.1,49406.2,48779.8,48027.8,47131.6,46121.1,44966.3,43692.6,42298.5,40788.8,39171.9,37437.6,35603.8,33669.8,31645.5,29531.6,27339.5,25065.3,22724.7,20324.6,17864.3,15357.1,12808.1,10221,7606.55,7343.03,7077.49,6809.83,6540.38,6269.17,5996.12,5721.56,5445.2,5167.5,4888.29,4607.78,4325.98,4043.06,3758.96,3473.78,3187.69,2900.72,2612.95,2324.48,2035.3,1745.59,1455.4,1164.8,873.879,582.729,291.402,0,
675,45932.9,45870.9,45678.7,45366.6,44919.4,44349.9,43666.2,42851.4,41932.6,40882.6,39724.7,38457.2,37084.5,35614.5,34037.7,32370.4,30612.1,28771.6,26849.7,24856.7,22789,20660.9,18478.8,16242,13962.5,11644.9,9292.74,6915.76,6676.17,6434.75,6191.4,5946.41,5699.83,5451.58,5201.96,4950.7,4698.21,4444.36,4189.32,3933.12,3675.89,3417.59,3158.31,2898.2,2637.29,2375.65,2113.38,1850.46,1587.06,1323.23,1059.01,794.518,529.808,264.938,0,
700,41761.5,41705.1,41530.4,41246.7,40840,40322.3,39700.6,38959.8,38124.5,37169.9,36117.1,34964.7,33716.7,32380.2,30946.6,29430.7,27832.1,26158.7,24411.3,22599.3,20719.4,18784.6,16800.6,14767,12694.5,10587.4,8448.82,6287.7,6069.87,5850.37,5629.13,5406.39,5182.2,4956.5,4729.54,4501.1,4271.54,4040.75,3808.87,3575.93,3342.06,3107.22,2871.49,2635,2397.79,2159.91,1921.45,1682.41,1442.93,1203.06,962.84,722.363,481.694,240.878,0,
725,37969,37917.7,37758.8,37500.8,37131.1,36660.4,36095.2,35421.7,34662.2,33794.3,32837.1,31789.4,30654.7,29439.6,28136.2,26758,25304.5,23783.1,22194.4,20546.9,18837.8,17078.7,15274.9,13425.9,11541.6,9625.87,7681.53,5716.68,5518.64,5319.07,5117.92,4915.41,4711.58,4506.37,4300.03,4092.33,3883.62,3673.79,3462.96,3251.18,3038.55,2825.04,2610.72,2395.7,2180.03,1963.76,1746.96,1529.62,1311.89,1093.8,875.4,656.762,437.949,219.002,0,
750,34520.8,34474.2,34329.7,34095.2,33759,33331.1,32817.2,32204.8,31514.3,30725.3,29855,28902.4,27870.8,26766,25581,24327.9,23006.5,21623.2,20178.8,18681,17127,15527.7,13887.7,12206.6,10493.5,8751.7,6983.94,5197.52,5017.46,4836.02,4653.13,4469.01,4283.7,4097.12,3909.52,3720.69,3530.93,3340.15,3148.47,2955.93,2762.61,2568.48,2373.62,2178.13,1982.05,1785.42,1588.31,1390.71,1192.75,994.47,795.9,597.118,398.176,199.114,0,
775,31385.8,31343.4,31212.1,30998.8,30693.2,30304.1,29836.9,29280.2,28652.4,27934.9,27143.7,26277.6,25339.7,24335.3,23257.8,22118.6,20917.1,19659.5,18346.3,16984.5,15571.6,14117.5,12626.5,11098.1,9540.49,7956.91,6349.69,4725.51,4561.8,4396.84,4230.56,4063.16,3894.67,3725.04,3554.47,3382.79,3210.27,3036.81,2862.55,2687.48,2511.72,2335.23,2158.06,1980.33,1802.05,1623.27,1444.06,1264.41,1084.43,904.157,723.62,542.891,362.016,181.031,0,
800,28535.5,28496.9,28377.5,28183.7,27905.8,27552,27127.3,26621.1,26050.3,25398,24678.6,23891.2,23038.5,22125.2,21145.7,20109.9,19017.5,17874.1,16680.2,15442,14157.5,12835.4,11479.8,10090.2,8674.06,7234.3,5773.04,4296.36,4147.52,3997.54,3846.36,3694.16,3540.98,3386.75,3231.67,3075.58,2918.73,2761.02,2602.58,2443.42,2283.62,2123.15,1962.08,1800.48,1638.4,1475.86,1312.92,1149.59,985.949,822.046,657.904,493.588,329.139,164.591,0,
825,25944,25909,25800.4,25624.1,25371.5,25049.9,24663.7,24203.5,23684.5,23091.5,22437.4,21721.5,20946.2,20115.9,19225.3,18283.6,17290.5,16250.9,15165.4,14039.6,12871.8,11669.8,10437.3,9173.87,7886.33,6577.32,5248.76,3906.19,3770.86,3634.5,3497.05,3358.68,3219.4,3079.18,2938.19,2796.27,2653.66,2510.28,2366.23,2221.52,2076.23,1930.34,1783.89,1636.97,1489.61,1341.83,1193.69,1045.19,896.41,747.392,598.157,448.762,299.248,149.643,0,
