Y Coordinates:
3.72535,3.97102,0.214318,0.428636,5.60475,5.80228,5.29974,1.1287,1.44004,0,1.80685,2.18792,4.88104,5.08735,2.45953,2.6227,0.65825,0.831958,6,2.81106,3,3.23348,3.46647,4.25013,4.56597,

 Time(s),  P(Pa) on vertices
1000,1539.74,1378.94,13233.6,13017.7,272.622,136.44,482.437,11453.5,10332.3,13295.7,8742.85,6787.75,768.682,627.926,5264.15,4307.26,12665.1,12288.8,0,3167.7,2001.93,1855.52,1707.1,1194.15,982.099,
1025,1399.86,1253.67,12031.4,11835.1,247.855,124.046,438.61,10413,9393.63,12087.9,7948.61,6171.13,698.852,570.883,4785.93,3915.97,11514.6,11172.5,0,2879.93,1820.06,1686.96,1552.02,1085.67,892.881,
1050,1272.69,1139.78,10938.4,10759.9,225.339,112.777,398.765,9467.02,8540.28,10989.8,7226.52,5610.51,635.365,519.022,4351.16,3560.22,10468.6,10157.5,0,2618.31,1654.72,1533.71,1411.03,987.043,811.768,
1075,1157.07,1036.24,9944.74,9782.45,204.868,102.532,362.54,8606.99,7764.44,9991.42,6570.04,5100.83,577.646,471.871,3955.88,3236.8,9517.55,9234.76,0,2380.45,1504.4,1394.38,1282.85,897.376,738.024,
1100,1051.96,942.1,9041.32,8893.77,186.257,93.2173,329.605,7825.1,7059.09,9083.76,5973.19,4637.45,525.17,429.005,3596.51,2942.75,8652.93,8395.84,0,2164.2,1367.73,1267.71,1166.31,815.854,670.979,
1125,956.396,856.516,8219.97,8085.82,169.337,84.749,299.662,7114.23,6417.81,8258.55,5430.56,4216.16,477.461,390.032,3269.79,2675.42,7866.87,7633.12,0,1967.59,1243.48,1152.54,1060.36,741.739,610.024,
1150,869.513,778.707,7473.23,7351.27,153.954,77.0501,272.44,6467.95,5834.79,7508.31,4937.22,3833.15,434.087,354.6,2972.75,2432.37,7152.21,6939.7,0,1788.85,1130.52,1047.84,964.029,674.356,554.607,
1175,790.523,707.966,6794.33,6683.45,139.968,70.0505,247.69,5880.37,5304.73,6826.22,4488.7,3484.93,394.652,322.387,2702.69,2211.41,6502.47,6309.27,0,1626.34,1027.82,952.651,876.452,613.095,504.224,
1200,718.709,643.651,6177.1,6076.3,127.253,63.6868,225.189,5346.17,4822.83,6206.1,4080.93,3168.34,358.801,293.1,2457.17,2010.51,5911.76,5736.11,0,1478.6,934.447,866.108,796.832,557.398,458.418,
1225,653.418,585.179,5615.95,5524.3,115.692,57.9012,204.732,4860.5,4384.7,5642.31,3710.2,2880.52,326.206,266.473,2233.95,1827.87,5374.71,5215.01,0,1344.28,849.557,787.427,724.444,506.762,416.774,
1250,594.059,532.019,5105.77,5022.45,105.182,52.6413,186.133,4418.96,3986.38,5129.74,3373.15,2618.84,296.572,242.266,2031,1661.82,4886.45,4741.26,0,1222.16,772.38,715.894,658.633,460.726,378.912,
1275,540.092,483.688,4641.94,4566.19,95.6272,47.8591,169.224,4017.52,3624.24,4663.73,3066.72,2380.93,269.63,220.257,1846.5,1510.85,4442.54,4310.54,0,1111.13,702.214,650.859,598.8,418.871,344.49,
1300,491.028,439.748,4220.25,4151.38,86.94,43.5114,153.851,3652.55,3295,4240.06,2788.13,2164.64,245.136,200.248,1678.76,1373.6,4038.96,3918.96,0,1010.19,638.422,591.732,544.402,380.819,313.195,
1325,446.421,399.799,3836.86,3774.25,79.042,39.5586,139.874,3320.74,2995.66,3854.87,2534.84,1967.99,222.866,182.057,1526.25,1248.82,3672.05,3562.94,0,918.421,580.425,537.977,494.946,346.224,284.743,
1350,405.866,363.48,3488.31,3431.38,71.8615,35.9649,127.168,3019.07,2723.53,3504.68,2304.57,1789.21,202.62,165.518,1387.6,1135.37,3338.46,3239.27,0,834.988,527.696,489.105,449.983,314.772,258.876,
1375,368.995,330.46,3171.41,3119.66,65.3333,32.6977,115.615,2744.8,2476.11,3186.3,2095.21,1626.67,184.213,150.482,1261.54,1032.23,3035.18,2945,0,759.134,479.758,444.672,409.105,286.176,235.358,
1400,335.474,300.439,2883.31,2836.26,59.3982,29.7273,105.112,2495.45,2251.17,2896.84,1904.87,1478.9,167.479,136.811,1146.94,938.455,2759.45,2677.46,0,690.171,436.175,404.276,371.94,260.179,213.978,
1425,304.998,273.146,2621.38,2578.6,54.0022,27.0268,95.5634,2268.75,2046.66,2633.68,1731.82,1344.55,152.264,124.383,1042.75,853.201,2508.77,2434.23,0,627.473,396.551,367.55,338.151,236.543,194.539,
1450,277.291,248.332,2383.24,2344.35,49.0964,24.5715,86.882,2062.65,1860.73,2394.43,1574.5,1222.41,138.432,113.083,948.019,775.693,2280.86,2213.09,0,570.471,360.527,334.16,307.432,215.055,176.866,
1475,252.101,225.773,2166.74,2131.38,44.6363,22.3394,78.9893,1875.27,1691.7,2176.91,1431.46,1111.36,125.856,102.81,861.897,705.226,2073.66,2012.05,0,518.647,327.775,303.804,279.504,195.518,160.799,
1500,229.199,205.263,1969.9,1937.75,40.5813,20.31,71.8135,1704.91,1538.02,1979.15,1301.42,1010.4,114.423,93.4705,783.599,641.16,1885.28,1829.26,0,471.53,297.998,276.205,254.112,177.756,146.191,
1525,208.377,186.616,1790.95,1761.72,36.8947,18.4649,65.2897,1550.03,1398.3,1799.35,1183.2,918.608,104.028,84.9792,712.413,582.914,1714.01,1663.09,0,428.695,270.927,251.113,231.028,161.608,132.911,
1550,189.447,169.663,1628.25,1601.68,33.5431,16.7875,59.3585,1409.22,1271.27,1635.89,1075.71,835.157,94.5778,77.2594,647.695,529.96,1558.31,1512,0,389.75,246.315,228.301,210.04,146.927,120.836,
1575,172.237,154.25,1480.33,1456.17,30.4959,15.2624,53.9661,1281.2,1155.78,1487.28,977.988,759.288,85.9859,70.2408,588.855,481.816,1416.74,1374.65,0,354.344,223.938,207.561,190.959,133.58,109.859,
1600,156.59,140.237,1345.85,1323.89,27.7255,13.8759,49.0636,1164.81,1050.79,1352.17,889.143,690.311,78.1746,63.8598,535.361,438.046,1288.04,1249.77,0,322.153,203.595,188.706,173.612,121.445,99.879,
1625,142.365,127.497,1223.59,1203.62,25.2068,12.6154,44.6064,1058.99,955.328,1229.33,808.37,627.6,71.0729,58.0585,486.727,398.252,1171.03,1136.23,0,292.888,185.099,171.563,157.84,110.412,90.8056,
1650,129.432,115.915,1112.43,1094.28,22.9169,11.4693,40.5542,962.791,868.542,1117.65,734.934,570.586,64.6163,52.7842,442.51,362.073,1064.65,1033.01,0,266.281,168.284,155.977,143.501,100.382,82.5564,
1675,117.674,105.385,1011.37,994.87,20.835,10.4274,36.8701,875.327,789.64,1016.12,668.169,518.752,58.7463,47.9891,402.311,329.181,967.93,939.17,0,242.09,152.997,141.808,130.465,91.2626,75.0566,
1700,106.984,95.8111,919.497,904.492,18.9423,9.48015,33.5206,795.808,717.905,923.813,607.47,471.626,53.4095,43.6295,365.763,299.276,879.999,853.852,0,220.098,139.098,128.925,118.613,82.972,68.2382,
1725,97.265,87.1072,835.966,822.324,17.2215,8.61893,30.4755,723.514,652.688,839.89,552.285,428.782,48.5576,39.6661,332.536,272.089,800.056,776.285,0,200.103,126.461,117.213,107.838,75.4344,62.0391,
1750,88.429,79.194,760.023,747.62,15.657,7.83595,27.707,657.787,593.395,763.591,502.113,389.829,44.1464,36.0626,302.327,247.371,727.375,705.764,0,181.925,114.973,106.565,98.0412,68.5816,56.4032,
1775,80.3958,71.9997,690.98,679.703,14.2347,7.1241,25.1899,598.03,539.488,694.223,456.499,354.416,40.1359,32.7865,274.862,224.899,661.298,641.649,0,165.398,104.529,96.8841,89.1347,62.3514,51.2793,
1800,73.0923,65.4589,628.208,617.956,12.9415,6.47692,22.9016,543.703,490.479,631.157,415.028,322.219,36.4898,29.8081,249.892,204.468,601.222,583.359,0,150.373,95.0327,88.0827,81.0373,56.6871,46.6209,
1825,66.4522,59.5124,571.139,561.818,11.7659,5.88852,20.8211,494.311,445.922,573.82,377.325,292.947,33.1749,27.1002,227.191,185.893,546.605,530.364,0,136.712,86.3995,80.0809,73.6756,51.5374,42.3856,
1850,60.4154,54.106,519.254,510.78,10.697,5.35359,18.9296,449.405,405.412,521.691,343.048,266.335,30.1612,24.6383,206.552,169.006,496.949,482.183,0,124.293,78.5506,72.806,66.9826,46.8555,38.5351,
1875,54.927,49.1908,472.083,464.379,9.72523,4.86724,17.21,408.579,368.583,474.299,311.884,242.14,27.4212,22.4,187.788,153.653,451.804,438.38,0,113.001,71.4147,66.192,60.8976,42.599,35.0344,
1900,49.9372,44.7221,429.197,422.193,8.84175,4.42508,15.6465,371.462,335.099,431.211,283.551,220.143,24.9301,20.3651,170.729,139.694,410.76,398.556,0,102.736,64.9271,60.1788,55.3654,38.7291,31.8518,
1925,45.4007,40.6593,390.207,383.839,8.03853,4.02309,14.2251,337.717,304.657,392.038,257.792,200.144,22.6654,18.5151,155.219,127.004,373.445,362.349,0,93.4029,59.0289,54.7119,50.3357,35.2108,28.9582,
1950,41.2763,36.9657,354.759,348.969,7.30827,3.65761,12.9329,307.037,276.981,356.424,234.373,181.962,20.6064,16.8331,141.118,115.466,339.52,329.432,0,84.9178,53.6664,49.7417,45.763,32.0121,26.3275,
1975,37.5266,33.6076,322.531,317.267,6.64436,3.32534,11.758,279.145,251.819,324.045,213.082,165.432,18.7344,15.3039,128.298,104.977,308.676,299.505,0,77.2035,48.7911,45.2229,41.6057,29.104,23.9358,
2000,34.1175,30.5545,293.231,288.446,6.04076,3.02325,10.6899,253.786,228.943,294.607,193.724,150.403,17.0325,13.9136,116.643,95.4403,280.635,272.296,0,70.19,44.3587,41.1147,37.8261,26.46,21.7614,
