Y Coordinates:
0,0.15,0.3,0.45,0.6,0.75,0.9,1.05,1.2,1.35,1.5,1.65,1.8,1.95,2.1,2.25,2.4,2.55,2.7,2.85,3,3.15,3.3,3.45,3.6,3.75,3.9,4.05,4.2,4.35,4.5,4.65,4.8,4.95,5.1,5.25,5.4,5.55,5.7,5.85,6,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,
650,50515.6,50387.8,50006.5,49373.4,48491.9,47366.2,46003.7,44418.5,42584.5,40544,38305.3,35881.1,33269.8,30489.5,27556.5,24484.7,21290.2,17992.8,14595.2,11127.8,7605.25,7248.83,6888.96,6525.56,6158.86,5789.1,5416.68,5041.16,4663.08,4282.81,3900.49,3515.99,3129.79,2742.01,2352.84,1962.49,1571.17,1179.09,786.391,393.307,0,
675,45927.8,45811.6,45464.9,44889.3,44087.9,43064.5,41825.7,40384.5,38717,36861.8,34826.5,32622.4,30248.3,27720.5,25053.8,22261.1,19356.6,16358.7,13269.7,10117.2,6914.54,6590.5,6263.31,5932.91,5599.52,5263.34,4924.74,4583.32,4239.59,3893.85,3546.25,3196.67,2845.54,2492.98,2139.15,1784.26,1428.48,1072.01,714.972,357.587,0,
700,41756.6,41651,41335.8,40812.5,40083.9,39153.4,38027.1,36716.8,35200.7,33514,31663.5,29659.7,27501.2,25202.9,22778.5,20239.3,17598.7,14873,12064.5,9198.36,6286.57,5991.95,5694.48,5394.08,5090.97,4785.33,4477.48,4167.07,3854.55,3540.21,3224.18,2906.35,2587.11,2266.57,1944.88,1622.21,1298.75,974.649,650.038,325.111,0,
725,37964.3,37868.3,37581.7,37105.9,36443.5,35597.5,34573.5,33382.2,32003.8,30470.3,28787.9,26966,25003.5,22914,20709.7,18401.2,16000.4,13522.3,10968.8,8362.97,5715.62,5447.77,5177.31,4904.2,4628.61,4350.73,4070.84,3788.61,3504.48,3218.69,2931.36,2642.39,2352.15,2060.72,1768.24,1474.89,1180.8,886.132,591.002,295.584,0,
750,34516.4,34429.1,34168.5,33736,33133.7,32364.5,31433.5,30350.4,29097.2,27703,26173.4,24517,22732.7,20833,18828.9,16730,14547.2,12294.2,9972.64,7603.45,5196.53,4953,4707.11,4458.8,4208.25,3955.59,3701.13,3444.53,3186.2,2926.37,2665.14,2402.41,2138.53,1873.57,1607.65,1340.94,1073.56,805.654,537.328,268.74,0,
775,31381.6,31302.3,31065.4,30672.1,30124.5,29425.2,28578.8,27594,26454.6,25187,23796.3,22290.3,20668.1,18940.9,17118.8,15210.6,13226.1,11177.6,9066.93,6912.9,4724.59,4503.17,4279.61,4053.85,3826.06,3596.35,3364.99,3131.7,2896.84,2660.6,2423.09,2184.23,1944.31,1703.41,1461.65,1219.15,976.056,732.485,488.528,244.333,0,
800,28531.6,28459.4,28244,27886.5,27388.6,26752.8,25983.2,25087.9,24052,22899.5,21635.1,20265.9,18791.1,17220.7,15564.1,13829.2,12024.9,10162.5,8243.47,6285.08,4295.5,4094.2,3890.94,3685.68,3478.57,3269.73,3059.38,2847.28,2633.75,2418.96,2203.03,1985.86,1767.73,1548.71,1328.9,1108.43,887.411,665.961,444.16,222.143,0,
825,25940.4,25874.7,25678.9,25353.8,24901.2,24323.1,23623.5,22809.5,21867.6,20819.8,19670.2,18425.4,17084.5,15656.7,14150.6,12573.2,10932.8,9239.53,7494.8,5714.27,3905.39,3722.36,3537.56,3350.95,3162.65,2972.77,2781.53,2588.69,2394.55,2199.28,2002.95,1805.5,1607.18,1408.06,1208.21,1007.76,806.817,605.478,403.822,201.968,0,
850,23584.5,23524.8,23346.8,23051.2,22639.7,22114.1,21478,20737.9,19881.6,18929,17883.8,16752,15532.9,14234.8,12865.4,11431.3,9939.87,8400.4,6814.13,5195.3,3550.7,3384.3,3216.28,3046.62,2875.42,2702.79,2528.91,2353.59,2177.08,1999.54,1821.04,1641.53,1461.22,1280.18,1098.48,916.239,733.542,550.489,367.147,183.625,0,
875,21442.5,21388.3,21226.4,20957.7,20583.5,20105.7,19527.4,18854.5,18076,17209.8,16259.6,15230.6,14122.2,12942,11697,10393.1,9037.13,7637.48,6195.27,4723.47,3228.23,3076.94,2924.18,2769.93,2614.28,2457.32,2299.24,2139.84,1979.36,1817.94,1655.66,1492.44,1328.51,1163.91,998.717,833.026,666.922,500.494,333.802,166.948,0,
900,19495.1,19445.8,19298.6,19054.3,18714.2,18279.7,17753.9,17142.1,16434.3,15646.8,14782.9,13847.4,12839.6,11766.6,10634.7,9449.23,8216.38,6943.85,5632.62,4294.48,2935.04,2797.49,2658.61,2518.36,2376.85,2234.15,2090.42,1945.5,1799.59,1652.84,1505.29,1356.9,1207.86,1058.21,908.014,757.371,606.352,455.039,303.487,151.786,0,
